SetID,Job Code,Eff Date,Sal End Date,Salary SetID,Sal Plan,Grade,Step,Biweekly High Rate,Biweekly Low Rate,Union Code,Extended Step,Pay Type
COMMN,9922,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,9922F,1,1405.00,1405.00,1,0,B
COMMN,9924,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,9924F,1,1299.00,1299.00,790,0,B
COMMN,9989,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,00000,1,0.00,0.00,990,0,C
COMMN,AB44,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,08640,1,6187.00,7520.00,2,0,B
COMMN,AC34,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,06825,1,2551.00,3101.00,1,0,B
COMMN,AC35,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,07125,1,2953.00,3589.00,1,0,B
COMMN,AC37,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,06975,1,2745.00,3337.00,2,0,B
COMMN,AC38,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,07245,1,3132.00,3807.00,2,0,B
COMMN,AC39,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,06975,1,2745.00,3337.00,2,0,B
COMMN,AC41,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,06215,1,1895.00,2303.00,1,0,B
COMMN,AC42,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,06515,1,2194.00,2666.00,1,0,B
COMMN,AC43,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,06515,1,2194.00,2666.00,1,0,B
COMMN,AC44,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,06825,1,2551.00,3101.00,1,0,B
COMMN,AC45,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,06570,1,2252.00,2737.00,1,0,B
COMMN,H  1,2009-07-01T00:00:00,2009-12-25T00:00:00,COMMN,SFM,H1F00,1,3502.00,4260.00,793,0,B
